dt_txt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,main,description,clouds,wind_speed,wind_degree,date,day,time_of_record
2020-02-01 02:30:00+05:30,12.3,12.3,12.3,1015,1015,988,54,Clear,clear sky,0,0.75,314,2020-02-01,Saturday,02:30:00
2020-02-01 05:30:00+05:30,11.8,11.8,11.8,1015,1015,988,64,Clear,clear sky,0,0.62,28,2020-02-01,Saturday,05:30:00
2020-02-01 08:30:00+05:30,13.52,13.52,13.52,1018,1018,991,63,Clear,clear sky,0,0.32,96,2020-02-01,Saturday,08:30:00
2020-02-01 11:30:00+05:30,19.06,19.06,19.06,1019,1019,992,40,Clear,clear sky,0,1.27,285,2020-02-01,Saturday,11:30:00
2020-02-01 14:30:00+05:30,21.1,21.1,21.1,1017,1017,990,29,Clear,clear sky,0,3.48,311,2020-02-01,Saturday,14:30:00
2020-02-01 17:30:00+05:30,18.59,18.59,18.59,1016,1016,990,36,Clear,clear sky,0,2.62,316,2020-02-01,Saturday,17:30:00
2020-02-01 20:30:00+05:30,15.7,15.7,15.7,1018,1018,992,47,Clear,clear sky,0,2.26,353,2020-02-01,Saturday,20:30:00
2020-02-01 23:30:00+05:30,14.1,14.1,14.1,1019,1019,992,54,Clear,clear sky,0,1.91,334,2020-02-01,Saturday,23:30:00
2020-02-02 02:30:00+05:30,12.47,12.47,12.47,1018,1018,992,59,Clear,clear sky,0,2.35,326,2020-02-02,Sunday,02:30:00
2020-02-02 05:30:00+05:30,11.09,11.09,11.09,1017,1017,991,67,Clear,clear sky,0,2.03,319,2020-02-02,Sunday,05:30:00
2020-02-02 08:30:00+05:30,11.55,11.55,11.55,1019,1019,992,67,Clear,clear sky,0,2.36,301,2020-02-02,Sunday,08:30:00
2020-02-02 11:30:00+05:30,17.44,17.44,17.44,1020,1020,993,47,Clear,clear sky,0,2.94,285,2020-02-02,Sunday,11:30:00
2020-02-02 14:30:00+05:30,20.83,20.83,20.83,1017,1017,990,34,Clear,clear sky,0,3.38,304,2020-02-02,Sunday,14:30:00
2020-01-29 17:30:00+05:30,17.12,17.12,18.22,1015,1015,989,41,Clear,clear sky,0,2.98,311,2020-01-29,Wednesday,17:30:00
2020-01-29 20:30:00+05:30,14.9,14.9,15.72,1018,1018,991,53,Clear,clear sky,0,2.92,346,2020-01-29,Wednesday,20:30:00
2020-01-29 23:30:00+05:30,13.4,13.4,13.95,1018,1018,991,62,Clear,clear sky,0,2.23,330,2020-01-29,Wednesday,23:30:00
2020-01-30 02:30:00+05:30,12.51,12.51,12.78,1018,1018,991,61,Clear,clear sky,0,2.67,326,2020-01-30,Thursday,02:30:00
2020-01-30 05:30:00+05:30,11.85,11.85,11.85,1017,1017,990,66,Clear,clear sky,0,2.55,347,2020-01-30,Thursday,05:30:00
2020-01-30 08:30:00+05:30,12.17,12.17,12.17,1019,1019,992,67,Clear,clear sky,0,2.85,311,2020-01-30,Thursday,08:30:00
2020-01-30 11:30:00+05:30,17.92,17.92,17.92,1019,1019,992,43,Clear,clear sky,0,4.31,315,2020-01-30,Thursday,11:30:00
2020-01-30 14:30:00+05:30,19.95,19.95,19.95,1016,1016,989,34,Clear,clear sky,0,4.98,308,2020-01-30,Thursday,14:30:00
2020-01-30 17:30:00+05:30,17.58,17.58,17.58,1014,1014,988,41,Clear,clear sky,0,3.61,308,2020-01-30,Thursday,17:30:00
2020-01-30 20:30:00+05:30,14.32,14.32,14.32,1016,1016,990,49,Clear,clear sky,0,2.35,297,2020-01-30,Thursday,20:30:00
2020-01-30 23:30:00+05:30,12.4,12.4,12.4,1015,1015,989,52,Clear,clear sky,0,2.1,288,2020-01-30,Thursday,23:30:00
2020-01-31 02:30:00+05:30,11.5,11.5,11.5,1015,1015,988,57,Clear,clear sky,0,2.32,320,2020-01-31,Friday,02:30:00
2020-01-31 05:30:00+05:30,10.35,10.35,10.35,1014,1014,987,59,Clear,clear sky,0,2.11,301,2020-01-31,Friday,05:30:00
2020-01-31 08:30:00+05:30,11.0,11.0,11.0,1016,1016,989,56,Clear,clear sky,0,1.72,261,2020-01-31,Friday,08:30:00
2020-01-31 11:30:00+05:30,16.54,16.54,16.54,1016,1016,989,43,Clear,clear sky,0,2.4,294,2020-01-31,Friday,11:30:00
2020-01-31 14:30:00+05:30,19.32,19.32,19.32,1013,1013,987,32,Clear,clear sky,0,3.24,282,2020-01-31,Friday,14:30:00
2020-01-31 17:30:00+05:30,17.3,17.3,17.3,1012,1012,986,38,Clear,clear sky,0,2.18,286,2020-01-31,Friday,17:30:00
2020-01-31 20:30:00+05:30,14.53,14.53,14.53,1015,1015,988,41,Clear,clear sky,0,2.0,311,2020-01-31,Friday,20:30:00
2020-01-31 23:30:00+05:30,12.83,12.83,12.83,1016,1016,989,41,Clear,clear sky,0,1.2,335,2020-01-31,Friday,23:30:00
2020-02-01 02:30:00+05:30,11.84,11.84,11.84,1015,1015,989,47,Clear,clear sky,0,0.21,342,2020-02-01,Saturday,02:30:00
2020-02-01 05:30:00+05:30,10.87,10.87,10.87,1016,1016,989,52,Clear,clear sky,0,0.8,284,2020-02-01,Saturday,05:30:00
2020-02-01 08:30:00+05:30,11.88,11.88,11.88,1018,1018,991,52,Clear,clear sky,0,1.56,256,2020-02-01,Saturday,08:30:00
2020-02-01 11:30:00+05:30,18.22,18.22,18.22,1020,1020,993,37,Clear,clear sky,0,1.69,282,2020-02-01,Saturday,11:30:00
2020-02-01 14:30:00+05:30,20.75,20.75,20.75,1017,1017,991,28,Clear,clear sky,0,3.38,320,2020-02-01,Saturday,14:30:00
2020-02-01 17:30:00+05:30,18.29,18.29,18.29,1016,1016,990,36,Clear,clear sky,0,2.61,313,2020-02-01,Saturday,17:30:00
2020-02-01 20:30:00+05:30,15.35,15.35,15.35,1018,1018,992,47,Clear,clear sky,0,1.84,353,2020-02-01,Saturday,20:30:00
2020-02-01 23:30:00+05:30,13.88,13.88,13.88,1019,1019,993,56,Clear,clear sky,0,1.64,349,2020-02-01,Saturday,23:30:00
2020-02-02 02:30:00+05:30,12.3,12.3,12.3,1018,1018,992,61,Clear,clear sky,0,1.69,332,2020-02-02,Sunday,02:30:00
2020-02-02 05:30:00+05:30,10.81,10.81,10.81,1018,1018,991,65,Clear,clear sky,0,1.79,300,2020-02-02,Sunday,05:30:00
2020-02-02 08:30:00+05:30,11.57,11.57,11.57,1020,1020,993,62,Clear,clear sky,0,2.65,304,2020-02-02,Sunday,08:30:00
2020-02-02 11:30:00+05:30,17.0,17.0,17.0,1020,1020,994,43,Clear,clear sky,0,2.86,297,2020-02-02,Sunday,11:30:00
2020-02-02 14:30:00+05:30,20.08,20.08,20.08,1018,1018,992,33,Clear,clear sky,0,2.91,305,2020-02-02,Sunday,14:30:00
2020-02-02 17:30:00+05:30,18.16,18.16,18.16,1017,1017,990,42,Clear,clear sky,0,2.53,301,2020-02-02,Sunday,17:30:00
2020-02-02 20:30:00+05:30,14.77,14.77,14.77,1018,1018,992,52,Clear,clear sky,0,1.84,300,2020-02-02,Sunday,20:30:00
2020-02-02 23:30:00+05:30,12.98,12.98,12.98,1019,1019,993,59,Clear,clear sky,0,1.55,288,2020-02-02,Sunday,23:30:00
2020-02-03 02:30:00+05:30,12.05,12.05,12.05,1018,1018,991,60,Clear,clear sky,0,2.06,327,2020-02-03,Monday,02:30:00
2020-02-03 05:30:00+05:30,10.92,10.92,10.92,1017,1017,990,59,Clear,clear sky,0,2.13,324,2020-02-03,Monday,05:30:00
2020-02-03 08:30:00+05:30,11.38,11.38,11.38,1019,1019,992,55,Clear,clear sky,0,1.79,282,2020-02-03,Monday,08:30:00
2020-02-03 11:30:00+05:30,17.41,17.41,17.41,1019,1019,992,35,Clear,clear sky,0,2.58,279,2020-02-03,Monday,11:30:00
2020-02-03 14:30:00+05:30,20.45,20.45,20.45,1015,1015,989,26,Clear,clear sky,0,2.51,293,2020-02-03,Monday,14:30:00
2020-01-30 17:30:00+05:30,17.32,17.32,17.48,1014,1014,988,45,Clear,clear sky,0,4.3,324,2020-01-30,Thursday,17:30:00
2020-01-30 20:30:00+05:30,14.7,14.7,14.82,1016,1016,990,51,Clear,clear sky,0,3.08,329,2020-01-30,Thursday,20:30:00
2020-01-30 23:30:00+05:30,12.65,12.65,12.73,1015,1015,989,58,Clear,clear sky,0,2.58,306,2020-01-30,Thursday,23:30:00
2020-01-31 02:30:00+05:30,10.98,10.98,11.02,1015,1015,989,64,Clear,clear sky,0,2.4,302,2020-01-31,Friday,02:30:00
2020-01-31 05:30:00+05:30,10.22,10.22,10.22,1014,1014,988,65,Clear,clear sky,0,2.39,299,2020-01-31,Friday,05:30:00
2020-01-31 08:30:00+05:30,10.83,10.83,10.83,1016,1016,990,63,Clear,clear sky,0,2.13,276,2020-01-31,Friday,08:30:00
2020-01-31 11:30:00+05:30,16.48,16.48,16.48,1016,1016,989,44,Clear,clear sky,0,3.21,295,2020-01-31,Friday,11:30:00
2020-01-31 14:30:00+05:30,19.21,19.21,19.21,1014,1014,987,36,Clear,clear sky,0,3.77,293,2020-01-31,Friday,14:30:00
2020-01-31 17:30:00+05:30,17.21,17.21,17.21,1012,1012,986,43,Clear,clear sky,0,2.49,288,2020-01-31,Friday,17:30:00
2020-01-31 20:30:00+05:30,14.74,14.74,14.74,1015,1015,988,46,Clear,clear sky,0,2.16,330,2020-01-31,Friday,20:30:00
2020-01-31 23:30:00+05:30,12.94,12.94,12.94,1015,1015,989,51,Clear,clear sky,0,0.93,347,2020-01-31,Friday,23:30:00
2020-02-01 02:30:00+05:30,11.79,11.79,11.79,1015,1015,989,57,Clear,clear sky,0,0.76,317,2020-02-01,Saturday,02:30:00
2020-02-01 05:30:00+05:30,11.04,11.04,11.04,1015,1015,988,61,Clear,clear sky,0,0.22,236,2020-02-01,Saturday,05:30:00
2020-02-01 08:30:00+05:30,12.04,12.04,12.04,1018,1018,991,59,Clear,clear sky,0,1.85,252,2020-02-01,Saturday,08:30:00
2020-02-01 11:30:00+05:30,17.96,17.96,17.96,1019,1019,993,39,Clear,clear sky,0,2.09,275,2020-02-01,Saturday,11:30:00
2020-02-01 14:30:00+05:30,20.3,20.3,20.3,1017,1017,990,31,Clear,clear sky,0,4.05,311,2020-02-01,Saturday,14:30:00
2020-02-01 17:30:00+05:30,18.03,18.03,18.03,1016,1016,990,38,Clear,clear sky,0,3.15,324,2020-02-01,Saturday,17:30:00
2020-02-01 20:30:00+05:30,15.24,15.24,15.24,1018,1018,992,47,Clear,clear sky,0,2.1,1,2020-02-01,Saturday,20:30:00
2020-02-01 23:30:00+05:30,13.15,13.15,13.15,1019,1019,993,54,Clear,clear sky,0,1.77,300,2020-02-01,Saturday,23:30:00
2020-02-02 02:30:00+05:30,11.5,11.5,11.5,1018,1018,992,59,Clear,clear sky,0,2.19,297,2020-02-02,Sunday,02:30:00
2020-02-02 05:30:00+05:30,10.58,10.58,10.58,1018,1018,991,62,Clear,clear sky,0,2.07,313,2020-02-02,Sunday,05:30:00
2020-02-02 08:30:00+05:30,11.12,11.12,11.12,1019,1019,993,59,Clear,clear sky,0,2.25,297,2020-02-02,Sunday,08:30:00
2020-02-02 11:30:00+05:30,16.98,16.98,16.98,1021,1021,994,41,Clear,clear sky,0,3.03,300,2020-02-02,Sunday,11:30:00
2020-02-02 14:30:00+05:30,20.3,20.3,20.3,1018,1018,992,32,Clear,clear sky,0,3.18,319,2020-02-02,Sunday,14:30:00
2020-02-02 17:30:00+05:30,18.27,18.27,18.27,1017,1017,991,41,Clear,clear sky,0,2.73,311,2020-02-02,Sunday,17:30:00
